query_id,query_text,topic_text,topic_terms,places,start_year,end_year
Q01,Live radar and next-few-hours precipitation nowcast for Texas during active severe weather,live weather radar and short-term precipitation nowcasting during severe weather,weather;radar;precipitation;nowcast;forecast;severe;storm,Texas,,
Q02,"Sea level rise on the US Gulf and Atlantic coast, from early-1900s tide-gauge records to 2100 projections","sea level rise, coastal flooding and historical tide-gauge records with end-of-century projections",sea;level;rise;coastal;flooding;tide;gauge;projections,United States Gulf and Atlantic coast,1935,2100
Q03,Wildfire smoke and ground-level air quality around Seattle and the Cascades in the 2023 fire season,wildfire smoke plumes and ground-level air quality during the fire season,wildfire;smoke;air;quality;fire;season;haze,Seattle;Cascades;Washington,2023,2023
Q04,"Carbon-neutrality and sustainability commitment maps on US university campuses, 2020-2024","campus carbon footprint, renewable energy and sustainability commitments",carbon;sustainability;renewable;energy;campus;university;neutrality,United States,2020,2024
Q05,"Trail and visitor maps for US mountain-west national parks, 2021-2024","national park trails, visitor information and scenic routes in the mountain west",trail;visitor;national;parks;scenic;mountain,United States;Mountain West,2021,2024
Q06,"Zoning district, parcel and development-permit lookup maps for Nashville, Tennessee","municipal zoning districts, parcel lookup and development permits",zoning;parcel;development;permit;lookup;district,Nashville;Davidson County;Tennessee,,
Q07,"Free summer-meal sites and food-pantry access maps across Texas, 2024","food insecurity, food pantries and free summer-meal site access",food;insecurity;pantry;meal;access;hunger,Texas,2024,2024
Q08,"Building-age and historic-district maps of New York City neighbourhoods, 1820s to present","building-age, historic districts and neighbourhood change",building;age;historic;district;heritage;neighbourhood,New York City;Brooklyn,1825,2016
Q09,"Real-time earthquake, volcano and multi-hazard alert dashboards with global coverage","real-time earthquake, volcano and multi-hazard alerts",earthquake;volcano;hazard;alert;seismic;dashboard,Global,,
Q10,Marine protected areas and coastal wildlife habitat boundary maps for California,"marine protected areas, coastal wildlife habitat and protected-area boundaries",marine;protected;wildlife;habitat;boundary;coastal;species,California,1999,2024
Q11,"US internal migration and neighbourhood demographic change across multi-decade periods, 1990-2020","internal migration, population change and neighbourhood demographic shifts",migration;population;demographic;change;neighbourhood;shift,United States,1990,2020
Q12,Passenger railway networks and cross-border train travel maps across Europe,passenger railway networks and cross-border train travel,railway;rail;train;transit;network;cross-border,Europe,,
